v,N,F2a,F2b,La,Lb
0,0,0.302,0.206,0.209,0.146
0,5,0.305,0.209,0.212,0.148
0,10,0.315,0.218,0.219,0.154
0,15,0.33,0.232,0.23,0.164
0,20,0.352,0.251,0.246,0.178
1,0,1.275,1.649,0.885,1.134
1,5,1.276,1.656,0.886,1.14
1,10,1.277,1.677,0.89,1.156
1,15,1.279,1.706,0.895,1.179
1,20,1.276,1.746,0.897,1.211
2,0,0.2,0.647,0.235,0.534
2,5,0.205,0.641,0.242,0.533
2,10,0.219,0.626,0.258,0.53
2,15,0.243,0.601,0.286,0.525
2,20,0.279,0.571,0.325,0.52
3,0,1.67,2.078,1.516,1.788
3,5,1.685,2.103,1.534,1.813
3,10,1.724,2.168,1.582,1.878
3,15,1.789,2.271,1.66,1.981
3,20,1.877,2.411,1.766,2.122
4,0,3.933,3.562,3.73,3.483
4,5,3.959,3.589,3.756,3.51
4,10,4.026,3.66,3.826,3.582
4,15,4.125,3.769,3.93,3.693
4,20,4.243,3.908,4.054,3.83
5,0,2.092,2.21,2.081,2.16
5,5,2.075,2.181,2.067,2.138
5,10,2.028,2.105,2.029,2.081
5,15,1.95,1.981,1.965,1.985
5,20,1.851,1.82,1.882,1.862
6,0,1.685,2.211,1.593,1.944
6,5,1.73,2.252,1.64,1.988
6,10,1.85,2.361,1.763,2.103
6,15,2.045,2.534,1.962,2.288
6,20,2.317,2.77,2.238,2.54
7,0,2.369,2.74,2.096,2.343
7,5,2.346,2.723,2.081,2.332
7,10,2.284,2.676,2.042,2.303
7,15,2.181,2.596,1.975,2.252
7,20,2.04,2.48,1.887,2.18
8,0,1.917,1.95,1.867,1.89
8,5,1.937,1.979,1.895,1.923
8,10,1.988,2.054,1.965,2.009
8,15,2.064,2.168,2.071,2.14
8,20,2.148,2.303,2.194,2.297
9,0,1.049,0.87,0.926,0.806
9,5,1.071,0.897,0.949,0.833
9,10,1.13,0.972,1.014,0.909
9,15,1.234,1.103,1.129,1.042
9,20,1.392,1.302,1.305,1.244
10,0,1.164,0.942,1.141,0.993
10,5,1.147,0.925,1.13,0.983
10,10,1.102,0.884,1.102,0.956
10,15,1.036,0.825,1.06,0.919
10,20,0.962,0.768,1.015,0.886
11,0,1.662,1.496,1.52,1.41
11,5,1.671,1.503,1.533,1.421
11,10,1.689,1.514,1.56,1.444
11,15,1.696,1.514,1.586,1.465
11,20,1.664,1.476,1.586,1.461
12,0,0.788,0.708,0.76,0.706
12,5,0.823,0.738,0.792,0.736
12,10,0.914,0.818,0.88,0.816
12,15,1.057,0.945,1.017,0.942
12,20,1.235,1.105,1.189,1.102
