,v 1,2,3,4,5,6,7,8,9,10
J 2,0.62,0.38,,,,,,,,
4,0.73 P,,,,,,,,,
4,0.66,0.4,1.6,2.99,1.82,1.44,1.83,1.62,0.71,1.07
6,0.76 P,0.42,1.63,3,1.93,1.33,1.86,1.63,0.58,0.92
8,0.57 P,0.29 P,,,,,,,0.07 P,0.89 P
8,0.83 R,0.41,1.62,3.17,1.92,1.6,2.03,1.78,0.76,0.93
10,0.59 P,0.42 P,,,,,,,,
10,0.73 R,0.39,1.73,3.53,1.93,1.53,1.74,1.71,0.65 P,0.82 P
12,,0.37 R,,,,,,,,
12,0.81 P,0.41 P,,,,,,,0.65 P,0.71 P
12,0.80 R,0.42,1.84,3.3,1.79,1.69,1.74,1.59,0.69 R,0.86 R
14,0.61 P,0.38 R,1.89 P,,,,,,0.69 P,0.87 P
14,0.93 R,0.45 P,1.68,3.49,1.82,1.78,1.72,1.75,0.75 R,0.92 R
16,0.98 P,,1.66 P,,,,,,0.75 P,0.79 P
16,0.52 R,0.40 R,1.51,3.46,1.8,1.73,1.73,1.79,0.87 R,0.83 R
18,,,1.69 P,,,,,,0.80 P,0.72 P
18,1.14 R,0.35 R,1.82 R,3.35,1.9,1.86,1.85,2.05,0.71 R,0.72 R
20,,,2.00 P,,,,,,0.83 P,0.80 P
20,0.57 R,,1.90 R,3.24,1.72,2.05,1.43,1.77,0.69 R,0.85 R
22,,,1.68 P,,,,,,,
22,,,1.75 R,3.04,1.66,1.97,1.44,1.95,0.92 R,0.64 R
24,,,2.06 P,,,,,,,0.35 P
24,,,1.97 R,,1.62,2.04,1.62,1.67,0.99 R,0.83 R
26,,,1.91 P,,,2.1,1.17,,,0.51 R
28,,,,,,,,,,0.52 P
28,,,1.89 R,,,,,,,0.54 R
30,,,,,,,,,,0.60 P
30,,,,,,,,,,0.14 R
