a1,a2,a3,a4,a5
0.100,1.7957E-5,3.5649E-8,-2.1721E-11,5.9110E-15
0.798,-4.4677E-5,2.5043E-7,-2.2125E-10,5.9972E-14
0.431,-1.7124E-4,9.6445E-8,-2.7822E-11,9.8534E-15
1.557,3.5845E-4,2.0714E-7,-1.4908E-10,3.8520E-14
3.391,4.2616E-4,-4.4225E-8,-1.2254E-10,2.4210E-14
1.998,-1.1956E-3,7.1429E-8,8.9515E-11,-3.8001E-15
1.504,7.0758E-4,3.2647E-7,-3.1715E-10,5.5516E-14
2.018,-1.2253E-3,1.9585E-7,-5.8604E-11,4.9873E-14
1.597,5.3849E-4,-1.4892E-7,-2.3699E-10,6.8732E-14
0.679,1.4933E-5,6.0852E-7,-2.5064E-10,1.9906E-14
0.984,-6.7816E-4,-6.0261E-8,3.2007E-10,-7.2881E-14
1.205,1.1501E-4,-5.5759E-7,-2.0676E-12,7.6844E-14
0.527,7.0618E-4,1.5578E-7,-5.8527E-10,1.6190E-13
0.108,1.1204E-4,8.1889E-7,-4.8307E-10,4.4999E-14
0.180,-4.8661E-4,6.1547E-7,5.3847E-11,-1.1040E-13
0.317,-5.4893E-4,1.4810E-8,5.0776E-10,-1.9647E-13
0.344,-3.8944E-4,-2.1801E-7,3.5812E-10,-4.5558E-14
0.292,-1.9102E-4,-3.5550E-7,2.6219E-10,3.0071E-14
0.219,-6.7914E-5,-3.9820E-7,2.5275E-10,0.0
0.153,-2.9441E-5,-3.2100E-7,1.1435E-10,0.0
0.097,-2.7365E-5,-3.9977E-7,3.6219E-10,0.0
0.051,-4.0120E-5,-3.2188E-7,-1.4023E-9,0.0
