T,T_0,G,B,D,lamda,lamda_D,gamma,gamma_D
49356.81,49004.75,352.06,0.8132,4.50E-06,1.69,0,-0.028,0
50044.37,49004.75,1039.62,0.7993,4.20E-06,1.7,0,-0.026,0
50709.53,49004.75,1704.78,0.786,5.80E-06,1.69,0,-0.029,0
51350.78,49004.75,2346.03,0.7705,5.20E-06,1.7,0,-0.026,0
51968.26,49004.75,2963.51,0.7527,1.40E-06,1.72,0,-0.024,0
52559.75,49004.75,3555,0.7377,5.80E-06,1.75,0,-0.022,0
53121.44,49004.75,4116.69,0.7187,5.00E-06,1.79,0,-0.021,0
53654.72,49004.75,4649.97,0.701,8.60E-06,1.82,0,-0.021,0
54154.92,49004.75,5150.17,0.677,6.70E-06,1.91,0,-0.023,0
54621.12,49004.75,5616.37,0.6514,6.30E-06,2.04,0,-0.021,-2.20E-05
55049.72,49004.75,6044.97,0.6263,9.90E-06,2.1,0,-0.041,0
55437.75,49004.75,6433,0.5956,9.40E-06,2.17,0,-0.038,0
55702.95,49004.75,6698.2,0.5626,1.37E-05,2.37,0,-0.054,-2.40E-05
56083.6,49004.75,7078.85,0.5242,1.63E-05,2.51,0,-0.084,-2.60E-05
56338.43,49004.75,7333.68,0.48319,2.08E-05,2.81,1.90E-04,-0.116,-3.90E-05
56548.26,49004.75,7543.51,0.4391,2.54E-05,3.3,3.10E-04,-0.164,-6.60E-05
56716.64,49004.75,7711.89,0.3934,3.08E-05,4.11,3.30E-04,-0.241,-8.10E-05
56848.65,49004.75,7843.9,0.3457,3.34E-05,5.18,0,-0.348,0
